books.internal_id,classification_values.value,classification_values.value,classification_values.value,classification_values.value,classification_values.value,book_keywords.keyword,collections.name,books.physical_type,books.title,books.subtitle,books.translated_title,books.palm_code,book_relationships.relationship_code,book_relationships.relationship_code,book_relationships.relationship_code,book_relationships.relationship_type,books.publication_year,creators.name,creators.name,creators.name,creators.name,book_creators.role_description,creators.name,book_creators.role_description,creators.name,creators.name,creators.name,creators.name,creators.name,publishers.name,publishers.program_name,books.pages,languages.name,languages.code,languages.name,languages.code,geographic_locations.name,geographic_locations.name,classification_values.value,books.vla_standard,books.vla_benchmark,books.toc,books.notes_issue,??????,books.notes_content,??????,books.description,books.access_level,book_files.digital_source,book_files.filename,book_files.filename,[NOT_STORED],book_files.filename,book_files.filename,book_files.digital_source,book_files.filename,book_files.external_url,books.contact,library_references.reference_number,library_references.catalog_link,library_references.call_number,??????,??????,??????,??????,??????,??????,??????,??????,??????,??????
P015-a,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM trial,Comic,Bitiir u sukuul ngea seenseey rooraed,(trial version),[Students and their teacher],YJC6b,P015,,,*TRUE if Translated-title identical*,1978,"Gilmar, Maelynn",,,,,,,"Gilmar, Maelynn",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,12,Yapese,yap,,,Yap,Yap State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Scarlett Lebehn. Scanning conducted by Belinda Welles in Pohnpei in September 2025.",PALM - Printed [Trial version] - YAPESE - Bitiir U Sukuul Ngae Seenseey Rooraed (YJC6b),PALM - Printed [Trial version] - YAPESE - Bitiir U Sukuul Ngae Seenseey Rooraed (YJC6b),TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998597044605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=150715,,,,,,,,,,
P015-d,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM CD,CD-ROM  ,Bitiir u sukuul ngea seenseey rooraed,(CD-ROM version),[Students and their teacher],YJC6b,P015,,,*TRUE if Translated-title identical*,1999,"Gilmar, Maelynn",,,,,,,"Gilmar, Maelynn",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Yapese,yap,,,Yap,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Yapese - Bitiir u sukuul ngea seenseey rooraed,PALM CD - Yapese - Bitiir u sukuul ngea seenseey rooraed,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P016-a,Core instructional,Textbook readers,Science,Life sciences and environment,/,/,PALM trial,Textbook,Boechi kea baabiyorean ea yafas,(trial version),[Our science book—Life science],YBY3,P016,,YSCI,*TRUE if Translated-title identical*,1979,"Yiftheg, Bernard",,,,,,,"Goodenow, Joy L.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,22,Yapese,yap,,,Yap,Yap State,Grade 2,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma995356494605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=148927,,,,,,,,,,
P016-c,Core instructional,Textbook readers,Science,Life sciences and environment,/,/,PALM final,Textbook,Boechi kea baabiyorean ea yafas,/final version/,[Our science book—Life science],YBY3,P016,,YSCI,*TRUE if Translated-title identical*,1979,"Yiftheg, Bernard",,,,,,,"Goodenow, Joy L.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,22,Yapese,yap,,,Yap,Yap State,Grade 2,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso. Scanning conducted by Aden Suwel and Koh Ming Wei in Yap in March 2025.",PALM - Printed - YAPESE - Beech kea Baabiyorean ea Yafas - Gr2,PALM - Printed - YAPESE - Beech kea Baabiyorean ea Yafas - Gr2,TRUE,,,,,,irei@islandresearch.org,Not available in this library.,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma995356494605682,Not available in this library.,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=148927,,,,,,,,,
P016-d,Core instructional,Textbook readers,Science,Life sciences and environment,/,/,PALM CD,CD-ROM  ,Boechi kea baabiyorean ea yafas,(CD-ROM version),[Our science book—Life science],YBY3,P016,,YSCI,*TRUE if Translated-title identical*,1999,"Yiftheg, Bernard",,,,,,,"Goodenow, Joy L.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Yapese,yap,,,Yap,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Yapese - Boechi kea baabiyorean ea yafas,PALM CD - Yapese - Boechi kea baabiyorean ea yafas,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P017-a,Literacy development,Narrative readers,Developing and fluent readers,Fictional story,,,PALM trial,Comic,Boechii pagel,(trial version),[A boy],unavailable,P017,,,*TRUE if Translated-title identical*,1978,Falownug,,,,,,,Falownug,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,unknown,Yapese,yap,,,Yap,Yap State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998597044605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=150715,,,,,,,,,,
P017-d,Literacy development,Narrative readers,Developing and fluent readers,Fictional story,,,PALM CD,CD-ROM  ,Boechii pagel,(CD-ROM version),[A boy],unavailable,P017,,,*TRUE if Translated-title identical*,1999,Falownug,,,,,,,Falownug,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Yapese,yap,,,Yap,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Yapese - Boechii pagel,PALM CD - Yapese - Boechii pagel,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P018-a,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM trial,Comic,Boechii piin ngea ba wolf ngea l'agruw kea flooreas,(trial version),"[A girl, a wolf, and two flower trees]",YJC6c,P018,,,*TRUE if Translated-title identical*,1979,Pin,,,,,,,Pin,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,10,Yapese,yap,,,Yap,Yap State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998597034605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=385918,,,,,,,,,,
P018-c,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM final,Comic,Boechii piin ngea ba wolf ngea l'agruw kea flooreas,/final version/,"[A girl, a wolf, and two flower trees]",YJC6c,P018,,,*TRUE if Translated-title identical*,1980,Pin,,,,,,,Pin,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,10,Yapese,yap,,,Yap,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso. Scanning conducted by Aden Suwel and Koh Ming Wei in Yap in March 2025.",PALM - Printed - YAPESE - Boechii piin ngea ba wolf ngea l'agruw kea flooreas,PALM - Printed - YAPESE - Boechii piin ngea ba wolf ngea l'agruw kea flooreas,TRUE,,,,,,irei@islandresearch.org,Not available in this library.,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998597034605682,Not available in this library.,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=385918,,,,,,,,,
P018-d,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM CD,CD-ROM  ,Boechii piin ngea ba wolf ngea l'agruw kea flooreas,(CD-ROM version),"[A girl, a wolf, and two flower trees]",YJC6c,P018,,,*TRUE if Translated-title identical*,1999,Pin,,,,,,,Pin,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Yapese,yap,,,Yap,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Yapese - Boechii piin ngea ba wolf ngea l'agruw kea flooreas,PALM CD - Yapese - Boechii piin ngea ba wolf ngea l'agruw kea flooreas,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P019-a,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM trial,Comic,Boechii tiir ni ba balyaang,(trial version),[A naughty kid],YJC6d,P019,,,*TRUE if Translated-title identical*,1979,Tinngin,,,,,,,Tinngin,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,9,Yapese,yap,,,Yap,Yap State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Scarlett Lebehn. Scanning conducted by Belinda Welles in Pohnpei in September 2025.",PALM - Printed [Trial version] - YAPESE - Boechi Tiir Ni Ba Balyaang (YJC6d),PALM - Printed [Trial version] - YAPESE - Boechi Tiir Ni Ba Balyaang (YJC6d),TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998597034605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=385918,,,,,,,,,,
P019-d,Literacy development,Narrative readers,Developing and fluent readers,Everyday story,,,PALM CD,CD-ROM  ,Boechii tiir ni ba balyaang,(CD-ROM version),[A naughty kid],YJC6d,P019,,,*TRUE if Translated-title identical*,1999,Tinngin,,,,,,,Tinngin,,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Yapese,yap,,,Yap,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Yapese - Boechii tiir ni ba balyaang,PALM CD - Yapese - Boechii tiir ni ba balyaang,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P020-a,Literacy development,Narrative readers,Developing and fluent readers,Animal story,,,PALM trial,Booklet,Boroq ngea galip,(trial version),[Rat and a crab],unavailable,P020,,,*TRUE if Translated-title identical*,1980,,,,"Chingyan, John M.",retold by,,,"Fithing, Robert",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,unknown,Yapese,yap,,,Yap,Yap State,,,,,,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,, ,FALSE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma999198394605682,,Not available in this library.,,,,,,,,,,
P020-d,Literacy development,Narrative readers,Developing and fluent readers,Animal story,,,PALM CD,CD-ROM  ,Boroq ngea galip,(CD-ROM version),[Rat and a crab],unavailable,P020,,,*TRUE if Translated-title identical*,1999,,,,"Chingyan, John M.",retold by,,,"Fithing, Robert",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Yapese,yap,,,Yap,Yap State,,,,,,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Yapese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Yapese - Boroq ngea galip,PALM CD - Yapese - Boroq ngea galip,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P021-a,Literacy development,Narrative readers,Developing and fluent readers,Folk tale,,,PALM trial,Booklet,Cheeriei! Cheeriei!,(trial version),[Help me! Help me!],TAW6,P021,,,*TRUE if Translated-title identical*,1978,,,,"William, Alvios",adapted by,,,"Santos, Ioannis S.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,unknown,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998595934605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=150650,,,,,,,,,,
P021-d,Literacy development,Narrative readers,Developing and fluent readers,Folk tale,,,PALM CD,CD-ROM  ,Cheeriei! Cheeriei!,(CD-ROM version),[Help me! Help me!],TAW6,P021,,,*TRUE if Translated-title identical*,1999,,,,"William, Alvios",adapted by,,,"Santos, Ioannis S.",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Chuukese - Cheeriei! Cheeriei!,PALM CD - Chuukese - Cheeriei! Cheeriei!,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P022-c,Literacy development,Narrative readers,Emerging and early readers,Animal story,,,PALM final,Booklet,Chepe me reeli,/final version/,[Bigeye trevally and gray chub],unavailable,P022,,,*TRUE if Translated-title identical*,1979,"Tawerilmang, Anthony F.",,,,,,,"Uolai, Augustin",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,unknown,Woleaian,woe,,,Woleai; Ifalik; Lamotrek; Elato; Faraulep,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Woleaian and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,N,,,,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma998595934605682,,https://library.comfsm.fm/webopac/titleinfo?highlight=yes&adv=1&k2=150714,,,,,,,,,,
P022-d,Literacy development,Narrative readers,Emerging and early readers,Animal story,,,PALM CD,CD-ROM  ,Chepe me reeli,(CD-ROM version),[Bigeye trevally and gray chub],unavailable,P022,,,*TRUE if Translated-title identical*,1999,"Tawerilmang, Anthony F.",,,,,,,"Uolai, Augustin",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,n/a,Woleaian,woe,,,Woleai; Ifalik; Lamotrek; Elato; Faraulep,Yap State,,,,, ,,,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Woleaian and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,"PDF created by iREi (2025) by extracting and formatting content from the PALM CD-ROM (1999), a collection of educational materials in Carolinian, Chamorro, Chuukese, Kosraen, Marshallese, Palauan, Pohnpeian, Samoan, Ulithian, Woleaian, and Yapese languages.T",PALM CD - Woleaian - Chepe me reeli,PALM CD - Woleaian - Chepe me reeli,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma9921588724605682,,http://library.comfsm.fm/webopac/titleinfo?k1=1043599&k2=51499,,,,,,,,,,
P023-a,Knowledge expansion,Content readers,Science,Life sciences and environment,,,PALM trial,Booklet,Chiechiach kewe  ,(trial version),[Our friends],TCC4,P023,,,*TRUE if Translated-title identical*,1980,"Cheipot, Chirano",,,,,,,"Nakamura, Deby",,,,,"UH Social Science Research Institute (SSRI), University of Hawaii at Manoa",Pacific Area Language Materials Development Center,5,Chuukese,chk,,,Chuuk Lagoon,Chuuk State,,,,, ,"""Trial version"" stamped on covers.",,"This title is part of the PALM (Pacific Area Languages Materials) collection, a series of literacy and educational resources produced mainly in the 1970s–1990s to support learning in the indigenous languages of Micronesia. While PALM books often feature short narratives or culturally grounded lessons with simple illustrations, the series also includes translated foreign stories—such as fairytales and fables—and a range of non-fiction texts. Written entirely in Chuukese and intended for elementary students, this book supports reading fluency, vocabulary development, and cultural relevance by providing accessible, locally meaningful texts within a structured instructional sequence.",  ,Y,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10125/42190).,PALM - Printed [Trial version] - CHUUKESE - Chiechiach Kewe TCC 4,PALM - Printed [Trial version] - CHUUKESE - Chiechiach Kewe TCC 4,TRUE,,,,,,irei@islandresearch.org,https://uhawaii-manoa.primo.exlibrisgroup.com/permalink/01UHAWAII_MANOA/1j16209/alma995355794605682,,Not available in this library.,,,,,,,,,,
