ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1010,Knowledge expansion,Language arts and culture,Academic research,Research presentations,Linguistics,Micronesian English,Not grouped in a collection,Research proposal,English in paradise,Emergent varieties in Micronesia [project description],,,,,,2016,"Bürki, Dominique|Kuske, Eva|Leonhardt, Tobias|Lynch, Sara|Mettler, Laura",,,,,,,,University of Bern,,6,English,eng,,,,,,,,,,,,,,Y,Leonhardt Tobias et al 2016 English in paradise - Emergent varieties in Micronesia [project description],Leonhardt Tobias et al 2016 English in paradise - Emergent varieties in Micronesia [project description],,,,,,,,,,,,,,,,,,,,
1011,Knowledge expansion,Language arts and culture,Academic research,Research presentations,Linguistics,Micronesian English,Not grouped in a collection,Website printout,Micronesian English,,,,,,,2018,"Blaine, Malcolm",,,,,,,,micronesianenglish.weebly.com,,1,English,eng,,,,,,,,,,PDF printed from https://micronesianenglish.weebly.com/ in 2025.,,,,Y,Malcolm Blaine 2018 Micronesian English,Malcolm Blaine 2018 Micronesian English,,,,,,,,https://micronesianenglish.weebly.com/,,,,,,,,,,,,
1012,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,Place names,Not grouped in a collection,Research report,Oral history and place names of Mwoakilloa,(English version),,,,,,2008,"Poll, Melissa",,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Tourism and Parks",31,English,eng,Mwoakilloa,mkj,Mwoakilloa,Pohnpei State,,,,,,,,,,Y,HPF special project 2008 Documentation of Oral History and Place Names of Mwoakilloa Atoll [English version],HPF special project 2008 Documentation of Oral History and Place Names of Mwoakilloa Atoll [English version],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1013,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,Place names,Not grouped in a collection,Research report,Oral history and place names of Mwoakilloa,(Mwoakilloaen version),,,,,,2008,"Poll, Melissa",,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Tourism and Parks",31,Mwoakilloa,mkj,,,Mwoakilloa,Pohnpei State,,,,,,,,,,Y,HPF special project 2008 Documentation of Oral History and Place Names of Mwoakilloa Atoll [Mwoakilloa version],HPF special project 2008 Documentation of Oral History and Place Names of Mwoakilloa Atoll [Mwoakilloa version],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1014,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,Place names,Not grouped in a collection,Research report,Pingelap place names and oral histories,,,,,,,2006,"Keller, Sergio Ihesi",,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Tourism and Parks",90,Pingelapese,pif,English,eng,Pingelap,Pohnpei State,,,,,,,,,,Y,HPF special project 2006 Pingelap place names and oral histories,HPF special project 2006 Pingelap place names and oral histories,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1015,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Folk tales,,Not grouped in a collection,Content reader,Ngeni Chon Chuuk Meyinisin,,[To all of the Chuukese people],,,,,1996,"Refilong, Zander",,,,,,,,Chuuk State Department of Education,BECLEPS program,90,Chuukese,chk,,,,Chuuk State,,,,,,,,A collection of legends and short stories to help parents and educators teach children the Chuukese way and its cultural values. Readers should note that this volume is entirely in Chuukese.,,Y,Refilong Z 1996 Ngeni Chon Chuuk Meyinisin,Refilong Z 1996 Ngeni Chon Chuuk Meyinisin,"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1016,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,,Not grouped in a collection,Story anthology,Nukuoro Stories,Volume 1: Nukuoro Texts,,,,,,1980,"Carroll, Raymonde",,,,,,,,University of Michigan,,253,Nukuoro,nkr,,,,,,,,,,,,,,Y,Carroll 1980 - Nukuoro Stories (Volume 1 - Nukuoro Texts),Carroll 1980 - Nukuoro Stories (Volume 1 - Nukuoro Texts),Shared by the Nukuoro Documentation Initiative (nukuoro.org).,,,,,,,,,,,,,,,,,,,
1017,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Chuukese-English,Not grouped in a collection,Self-study lessons,Introduction to Trukese,,,,,,,1969,"Benton, Richard A.",,,,,,,,Peace Corps,,607,English,eng,Chuukese,chk,Chuuk,Chuuk State,,,,,,,,"This volume contains 48 lessons, additional materials, appendices, and a dictionary to help native English speakers learn Chuukese. The PDF file is an incomplete scan, with large sections missing.",,T,Peace Corps - 1967 - Benton - Introduction to Trukese,Peace Corps - 1967 - Benton - Introduction to Trukese,Digital document downloaded from the Educational Resources Information Center (ERIC) website.,,,,,,,,,,,,,,,,,,,
1018,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Pohnpeian-English,Not grouped in a collection,Self-study lessons,Kitail Lokaiahn Pohnpei,Introductory lessons in Ponapean,,,,,,1969,"Rehg, Kenneth L.","Sohl, Damian G.",With the assistance of,,,,,,Peace Corps,,305,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,,"This volume contains 4 books, each with 4 units of Ponapean lessons for native English speakers and additional materials. The book contains instructions directly for the students, as well as for teachers facilitating the language course.",,Y,Peace Corps - 1969 - Rehg and Sohl - KITAIL LOKAIAHN POHNPEI,Peace Corps - 1969 - Rehg and Sohl - KITAIL LOKAIAHN POHNPEI,Digital document downloaded from the Educational Resources Information Center (ERIC) website.,,,,,,,,,,,,,,,,,,,
1019,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Pohnpeian-English,Not grouped in a collection,Self-study lessons,Lessons in Ponapean,ERIC ED152112,,,,,,1962,Peace Corps,,,,,,,,Peace Corps,,78,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,This original 1962 publication is in the public domain. There exists a reprint from 2021 by Hassell Street Press.,,This volume contains 35 beginning Ponapean lessons for native English speakers. Each lesson consists of a dialogue structured around an aspect of Ponapean grammar and substitution exercises designed for drill. Vocabulary is introduced in the substitution exercises.,,Y,Peace Corps - 1962 - Lessons in Ponapean,Peace Corps - 1962 - Lessons in Ponapean,Digital document downloaded from the Educational Resources Information Center (ERIC) website.,,,,,,,,,,,,,,,,,,,
1020,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Pohnpeian-English,Not grouped in a collection,Self-study lessons,Kaselehlia Pohnpei! – Workbook and lab manual,Lesson 1,,,,,,1992,"Kinnaman, Sydney G.|Peterson, Ray","Mauricio, Rufino|Olter, Marie",Language and culture consultant,,,,,,Yamada Language Centre,University of Oregon,56,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,"The Kaselehlia Pohnpei! workbook and lab manual accompanies the self-access language course prototype module produced at the University of Oregon. The complete module contains this workbook, a video and an audio tape.","Kaselehlia Pohnpei! is a self-directed introduction to Pohnpeian language and culture. It has been specifically developed for technical assistants and anthropology students from the University of Oregon who will be working on a variety of projects on Pohnpei and who want to gain some language and cultural background before they go to Micronesia. The course materials, which include this workbook, an audio cassette and a video tape, are designed for the student to view the video first and then work through the workbook with the accompanying audio tape.",,Y,Yamada Language Centre - Kinnaman and Peterson 1992 - Kaselehlia Pohnpei - Workbook and Lab Manual - Lesson 1,Yamada Language Centre - Kinnaman and Peterson 1992 - Kaselehlia Pohnpei - Workbook and Lab Manual - Lesson 1,Digital document downloaded from the University of Oregon website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1021,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Pohnpeian-English,Not grouped in a collection,Self-study lessons,Kaselehlia Pohnpei! – Workbook and lab manual,Lesson 1,,,,,,1994,"Kinnaman, Sydney G.|Peterson, Ray","Mauricio, Rufino|Olter, Marie",Language and culture consultant,,,,,,Yamada Language Centre,University of Oregon,60,English,eng,Pohnpeian,pon,Pohnpei,Pohnpei State,,,,,,,"The Kaselehlia Pohnpei! workbook and lab manual accompanies the self-access language course prototype module produced at the University of Oregon. The complete module contains this workbook, a video and an audio tape.","Kaselehlia Pohnpei! is a self-directed introduction to Pohnpeian language and culture. It has been specifically developed for technical assistants and anthropology students from the University of Oregon who will be working on a variety of projects on Pohnpei and who want to gain some language and cultural background before they go to Micronesia. The course materials, which include this workbook, an audio cassette and a video tape, are designed for the student to view the video first and then work through the workbook with the accompanying audio tape.",,Y,Yamada Language Centre - Kinnaman and Peterson 1992 - Kaselehlia Pohnpei - Workbook and Lab Manual - Lesson 2,Yamada Language Centre - Kinnaman and Peterson 1992 - Kaselehlia Pohnpei - Workbook and Lab Manual - Lesson 2,Digital document downloaded from the University of Oregon website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1022,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Kosraean-English,Not grouped in a collection,Self-study lessons,Lwen Wolena Kosrae – Workbook and lab manual,,,,,,,1994,"Kinnaman, Sydney G.","Sigrah, Aaron|O’Daol, Joyce",Language and culture consultant,,,,,,Yamada Language Centre,University of Oregon,83,English,eng,Kosraean,kos,Kosrae,Kosrae State,,,,,,,"Lwen Wolena Kosrae! workbook and lab manual accompanies the self-access language course prototype module produced at the University of Oregon. The complete module contains this workbook, a video and an audio tape.","Lwen Wolena Kosrae! is a self-directed introduction to Kosraean language and culture. It has been specifically developed for technical assistants and anthropology students from the University of Oregon who will be working on a variety of projects on Kosrae and who want to gain some language and cultural background before they go to Micronesia. The course materials, which include this workbook, an audio cassette and a video tape, are designed for the student to view the video first and then work through the workbook with the accompanying audio tape.",,Y,Yamada Language Centre - Kinnaman and Peterson 1994 - Lwen Wolena Kosrae - Workbook and Lab Manual - Lesson 1,Yamada Language Centre - Kinnaman and Peterson 1994 - Lwen Wolena Kosrae - Workbook and Lab Manual - Lesson 1,Digital document downloaded from the University of Oregon website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1023,Literacy development,Language arts and culture,Narrative readers,Proficient and critical readers,Translated novels,,Not grouped in a collection,Novel,Mehn Suhs me Depe,,,,,,,2013,"Lowry, Lois Ann","Rivera, Nina",Translated by,,,,,,Unpublished draft or manuscript,,104,English,eng,,,,,,,,,,,,"This is a Pohnpeian translation of a 1989 historical novel titled “Number the Stars”, by the American author Lois Lowry. The novel is about the escape of a family of Jews from Copenhagen, Denmark, during World War II.",,Y,Nina Rivera [translator] - 2013 - Mehn Suhs me Depe,Nina Rivera [translator] - 2013 - Mehn Suhs me Depe,"PDF created by iREi (2025). Digitized from a mimeographed hard copy courtesy of the COM-FSM Library, with special thanks to librarian Scarlett Lebehn. Scanning conducted by Belinda Welles in Pohnpei in November 2025.",,,,,,,,,,,http://library.comfsm.fm/webopac/titleinfo?k1=3065126&k2=387548,,,,,,,,
1024,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Cultural readers,Traditional knowledge and skills,Chants|Navigation,Not grouped in a collection,Monograph,Book en Palu,Navigational Chants From Puluwat,,,,,,1993,,Faipi,Recited by,"Sanford, Eric D.",Recorded by,,,,Independently published,,176,Puluwatese,puw,,,,,,,,,,Information recorded in 1985. First edition 1986. Second edition 1993.,,"This is a book of traditional Micronesian navigation techniques. The knowledge comes to us through Faipi, a navigator on Puluwat Atoll, Chuuk State. Sanford collected the material during his two years on Puluwat (April 1984 – April 1986) when he worked there as a Peace Corps Volunteer.",,Y,Faipi 1985 Book en Palu - Navigational Chants From Puluwat,Faipi 1985 Book en Palu - Navigational Chants From Puluwat,"PDF created by iREi (2025) from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso who located the original and conducted the scanning in Yap in November 2025.",,,,,,,,,,,,,,,,,,,
1025,Knowledge expansion,Language arts and culture,Reference,Language reference,Dictionaries and grammars,Pohnpeian-English,Not grouped in a collection,Dictionary,Ponapean-English Dictionary,,,,,,,1950,"Cantero, Paulino",,,,,,,,Micronesian Seminar,,229,Pohnpeian,pon,English,eng,Pohnpei,Pohnpei State,,,,,,,,,,Y,Cantero 1950 - Ponapean-English Dictionary,Cantero 1950 - Ponapean-English Dictionary,PDF created from a hard copy printout courtesy of the University of Hawaii library. Scanning was conducted by librarian Eleanor Kleiber in early 2025.,,,,,,,,,,,,,,,,,,,
1026,Knowledge expansion,Language arts and culture,Reference,Language reference,Dictionaries and grammars,Pohnpeian-English,Not grouped in a collection,Dictionary,Ponapean-English Wordlist,[8888],,,,,,1987,"Cantero, Paulino",,,,,,,,Micronesian Seminar,,288,Pohnpeian,pon,English,eng,Pohnpei,Pohnpei State,,,,,,,,,,Y,Cantero 1987 - Ponapean-English Wordlist [8888],Cantero 1987 - Ponapean-English Wordlist [8888],"PDF created by iREi (2025) from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso who located the original and conducted the scanning in Yap in November 2025.",,,,,,,,,,,,,,,,,,,
1027,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,"Traditions, customs, and beliefs",,Not grouped in a collection,Research report,"Oh, Mejwa","Chants, Songs, Accounts, and Tales of Mwoakilloa Atoll, Micronesia",,,,,,2004,,"Nagaoka, Takuya|Hicks, Barbara",Editor,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Tourism and Parks",483,Mwoakilloa,mkj,English,eng,Mwoakilloa,Pohnpei State,,,,,,,,,,Y,"Pohnpei HPO 2004 - Oh, Mejwa - Chants, Songs, Accounts, and Tales of Mwoakilloa Atoll","Pohnpei HPO 2004 - Oh, Mejwa - Chants, Songs, Accounts, and Tales of Mwoakilloa Atoll",Digital document courtesy of Pohnpei State Historic Preservation Office.,,,,,,,,,,,,,,,,,,,
1028,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,,Not grouped in a collection,Story anthology,Cheldecheduch er Belau,Palauan Legends,,,,,,1971,,"Kesolei, Katherine",Project director,,,,,,Palau Community Action Agency,Trust Territory Adult Education Department,28,,,English,eng,,Palau,,,,,,,,,,Y,Palau Community Action Agency 1971 Cheldecheduch er Belau - Palauan Legends,Palau Community Action Agency 1971 Cheldecheduch er Belau - Palauan Legends,PDF created by iREi (2025). Digitized from a hard copy courtesy of the University of Guam Library. Scanning conducted by Koh Ming Wei in Guam in March 2025.,,,,,,,,,,,,,,,,,,,
1029,Knowledge expansion,Language arts and culture,"Cultural content books, compilations, and reports",Traditional literature,Legends and oral history,,Not grouped in a collection,Story anthology,Poadepen Oceania,,[Stories of Oceania],,,,,,"Prout, Katherine","Manuel, Kolden E.",Translated by,,,,,"Lennon, John",,,50,Pohnpeian,pon,,,,,,,,,,,A book for upper level elementary school students.,,,N,,,,,,,,,,,,,,http://library.comfsm.fm/webopac/titleinfo?k1=1593229&k2=189773,This book seems to be lost from the library (2025).,,,,,,,
1030,Knowledge expansion,Language arts and culture,Reference,Bibliographic reference,Bibliographies,Bilingual education|Multicultural education,Not grouped in a collection,Bibliography,Micronesian Texts for the K-12 Reader,A Selection Guide,,,,,,2001,"Carriveau, Kenneth L., Jr.|Cunningham, Lawrence J.",,,,,,,,Baylor University,University of Guam,129,English,eng,,,,,,,,,,,,,,Y,Carriveau and Cunningham 2001 - Micronesian Texts for the K-12 Reader,Carriveau and Cunningham 2001 - Micronesian Texts for the K-12 Reader,Digital document downloaded from the Educational Resources Information Center (ERIC) website.,,,,,,,,,,,,,,,,,,,
1031,Knowledge expansion,Language arts and culture,Reference,Bibliographic reference,Bibliographies,Bilingual education|Multicultural education,Not grouped in a collection,Bibliography,Contemporary Micronesian Literature,A Preliminary Bibliography,,,,,,1985,"Skinner, Mark E.",,,,,,,,University of Hawaii,,79,English,eng,,,,,,,,,,,,,,Y,Skinner 1985 CONTEMPORARY MICRONESIAN LITERATURE - A PRELIMINARY BIBLIOGRAPHY,Skinner 1985 CONTEMPORARY MICRONESIAN LITERATURE - A PRELIMINARY BIBLIOGRAPHY,,,,,,,,,,,,,,,,,,,,
1032,Knowledge expansion,Language arts and culture,Reference,Language reference,Dictionaries and grammars,Ulithian-English,Not grouped in a collection,PhD dissertation,An Outline of Ulithian Grammar,,,,,,,1969,"Sohn, Ho-Min",,,,,,,,University of Hawaii,,543,Ulithian,uli,English,eng,Ulithi,Yap State,,,,,,,,,,Y,Sohn 1969 An Outline of Ulithian Grammar,Sohn 1969 An Outline of Ulithian Grammar,PDF downloaded by iREi (2025) from the University of Hawaii archives.,,,,,,,,,,,,,,,,,,,
1033,Supplementary / Enrichment,Science and mathematics,Topic readers,Proficient and critical readers,Living things and environment,,Not grouped in a collection,Narrative reader,Sapwatailet – Our World,Story for environmental education,,,,,,2012,"Hayashida, Mio","Alphonz, Vensis|Shed, Laura|David, Wagner|John, Aioreen",Collaborators,,,,,,Pohnpei State Department of Education,Japan International Cooperation Agency (JICA),24,Pohnpeian,pon,English,eng,Pohnpei,Pohnpei State,ECE,,,,,,,This book was written for environmental education at ECE level in Pohnpei.,"The story starts with a tragic incident when a turtle father died from eating a plastic bag by accident. The funeral was held by the friends of the sea and they started talking about what's happening in the sea.... This is a fiction but this is actually happening on the earth and in our ocean. Our islands are getting full of trash. We have to face this situation seriously as persons and also as teachers. We have duty to teach children about this situation and help them get idea of what we should do or what we can do. Teaching about 4Rs (Refuse, Reduce, Reuse, and Recycle) would be a good idea. And also, let's change our own behavior. Show our nurturing, affectionate attitude toward our environment, and from this, children will learn how to take care of our environment in the true sense.",Y,Pohnpei DOE 2012 Hayashida Mio - Sapwatailet - Our World (Story for environmental education),Pohnpei DOE 2012 Hayashida Mio - Sapwatailet - Our World (Story for environmental education),"PDF created by iREi (2025). Digitized from a hard copy mimeograph courtesy of the Micronesian Seminar Library, with special thanks to librarian Scarlett Lebehn. Scanning conducted by Aden Suwel and Koh Ming Wei in Yap in March 2025.",,,,,,,,,,,,,,,,,,,
1034,Supplementary / Enrichment,Science and mathematics,Topic readers,Proficient and critical readers,Living things and environment,,Not grouped in a collection,Comic-style reader,Mr. Mwakelekel,Kitail koaros iang sawas oh wia Pohnpei en mwakelekel,,,,,,1994,Shakoor Studio,,,,,,,Shakoor Studio,Pohnpei State Environmental Protection Agency,,21,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pohnpei EPA - 1994 - Mr. Mwakelekel,Pohnpei EPA - 1994 - Mr. Mwakelekel,"PDF created by iREi (2025) from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso who located the original and conducted the scanning in Yap in November 2025.",,,,,,,,,,,,,,,,,,,
